"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009134","GO:0009134","nucleoside diphosphate catabolic process","7/197","95/18842",0.0736842105263158,7.04750200374032,6.07401454976998,6.23851659908817e-05,0.00500912915911792,0.00500912915911792,"OGDH/ALDOB/GPI/GAPDH/DHTKD1/GAPDHS/ENO3",7
"GO:0008380","GO:0008380","RNA splicing","16/197","492/18842",0.032520325203252,3.1103957740085,4.87564772711991,6.30400608460418e-05,0.00500912915911792,0.00500912915911792,"AKAP8L/SF3A3/HNRNPUL1/HSPA8/FAM50A/PUF60/DDX5/NCL/PRPF8/HNRNPL/DDX17/HNRNPH3/DDX23/RBM8A/HNRNPK/SRSF3",16
"GO:0045454","GO:0045454","cell redox homeostasis","5/197","43/18842",0.116279069767442,11.1214732617164,6.8299021233407,8.27784519245626e-05,0.0064898306308857,0.0064898306308857,"PRDX4/PRDX5/TXNDC2/PRDX1/PRDX2",5
"GO:0000381","GO:0000381","regulation of alternative mRNA splicing, via spliceosome","6/197","69/18842",0.0869565217391304,8.31692783050099,6.25878986689816,8.39380425718493e-05,0.00649415382003255,0.00649415382003255,"PUF60/DDX5/HNRNPL/DDX17/RBM8A/SRSF3",6
"GO:0042176","GO:0042176","regulation of protein catabolic process","14/197","401/18842",0.0349127182044888,3.33921541324354,4.86691838292656,8.69499911752776e-05,0.00663981750793029,0.00663981750793029,"PDCL3/LRP1/PSMC5/PARK7/SNX3/PSMA5/FLNA/CHMP6/PSMB7/PSMD13/RPS7/PSMD6/SNX12/USP5",14
"GO:0050684","GO:0050684","regulation of mRNA processing","8/197","135/18842",0.0592592592592593,5.66783229930438,5.59479206100325,8.83644979164138e-05,0.0066613236890835,0.0066613236890835,"PUF60/DDX5/PRPF8/HNRNPL/DDX17/RBM8A/HNRNPK/SRSF3",8
"GO:0006119","GO:0006119","oxidative phosphorylation","8/197","139/18842",0.0575539568345324,5.50472921155461,5.47929075988939,0.00010839455891047,0.00785098487190463,0.00785098487190463,"NDUFS7/PARK7/SHMT2/CYC1/NDUFB11/NDUFA12/SDHA/NDUFS2",8
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process","11/197","264/18842",0.0416666666666667,3.98519458544839,5.02087053881539,0.000109364985412936,0.00785098487190463,0.00785098487190463,"NME4/NDUFS7/OGDH/IDO1/NDUFB11/PPT2/PPCS/FASN/NDUFA12/SDHA/NDUFS2",11
"GO:0005996","GO:0005996","monosaccharide metabolic process","10/197","220/18842",0.0454545454545455,4.34748500230734,5.13358447861362,0.000110658707863282,0.00785098487190463,0.00785098487190463,"PC/HSD17B14/ALDOB/GPI/ACADM/GAPDH/DHDH/MAN2C1/GAPDHS/ENO3",10
"GO:0009135","GO:0009135","purine nucleoside diphosphate metabolic process","7/197","104/18842",0.0673076923076923,6.4376220226474,5.71568073635594,0.000110821725232667,0.00785098487190463,0.00785098487190463,"OGDH/ALDOB/GPI/GAPDH/DHTKD1/GAPDHS/ENO3",7
