"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RAB1A.1",-2.62601494923072,9.79826256325578,-4.32018087157217,0.000110088737347876,0.00380975243700883,1.20574349112044
"Nfu_g_1_023491",-4.88599664045881,11.5795457575189,-4.31914894265549,0.000110432387977543,0.00380975243700883,1.20289224576413
"DYNC1H1",-5.22714225687405,11.7626831959231,-4.31809327660158,0.000110785031993297,0.00380975243700883,1.19997561940628
"OLA.10295",-4.1442206790949,10.6462433061434,-4.31572296489125,0.000111580860018392,0.00380975243700883,1.19342760750404
"RPS19",-4.33736990032378,12.034398263399,-4.31462319864022,0.000111952005896731,0.00380975243700883,1.1903898477789
"NARS.3",-3.9912225369176,10.6809132294442,-4.31379830144342,0.000112231184016092,0.00380975243700883,1.18811147621958
"ABAT.1",-4.20699748209129,11.600132863902,-4.2984487637763,0.000117552365032106,0.00396342095615007,1.14573930057875
"ALDOB.3",-5.64922121756833,12.3455876301333,-4.28311159118581,0.000123116035170192,0.00411017939847217,1.10344595750698
"QDPRA",-3.45775867678733,10.4779712958577,-4.28087175627796,0.000123949854200577,0.00411017939847217,1.09727323077101
"ACO2.3",-3.85429861259438,11.8301310455678,-4.27331536755444,0.000126803884715335,0.00411017939847217,1.07645585154569
"VAPB.2",-3.62223876870068,11.1330437214053,-4.27265983788653,0.000127054490380844,0.00411017939847217,1.07465043034797
"TFA.1",-5.27763177743094,12.5535392274284,-4.27063498487846,0.000127831649664536,0.00411017939847217,1.0690742275144
"PRDX4",-4.15545114902965,12.0288869022247,-4.26790688981247,0.000128886088808424,0.00411017939847217,1.0615626438532
"EMC2.1",-2.52338085811855,10.2247668587861,-4.26751784895522,0.000129037149958739,0.00411017939847217,1.06049157046214
"FTSJ",-3.43409849231244,10.8352018044995,-4.26725404685468,0.000129139680666464,0.00411017939847217,1.05976531033104
"GNL2",-2.90834775305381,10.2567259721155,-4.26679504335281,0.000129318269651329,0.00411017939847217,1.05850168358782
"NUCB2A.2",3.94759569936895,11.5415810896631,4.24632350836361,0.000137534124343699,0.00425802629624078,1.00218613800763
"UGGT1.1",-3.40666642318024,10.6324617795833,-4.24518826622408,0.000138004394664876,0.00425802629624078,0.999065607189019
"DDI2",-3.72060484873954,10.8019649034814,-4.24369836384837,0.000138623971726824,0.00425802629624078,0.994970583425464
"EIF3C",-4.03405814312956,11.4728983467274,-4.24234599827645,0.000139188711635496,0.00425802629624078,0.991253965797998
"G4P62_017264",-2.81999646142114,10.2338671436345,-4.24175838340367,0.000139434797649959,0.00425802629624078,0.989639176293525
"VAPA.1",-3.52058749284815,10.72216048157,-4.24058751718139,0.000139926413068494,0.00425802629624078,0.986421794373398
"EEF2",-5.58503449763067,12.7022067411803,-4.24054772906887,0.000139943148814326,0.00425802629624078,0.986312466845752
"CPNE1.2",-3.87797549650558,11.123806565889,-4.23182000815472,0.000143661978592774,0.0043248906369315,0.962338609363771
"CNBPA.2",-3.21448964467872,10.5311293474776,-4.23132883134693,0.000143874117380888,0.0043248906369315,0.960989869525354
"P4HB.1",-5.34851851583938,12.5718682192271,-4.22111300842752,0.000148356484041077,0.00441462509439825,0.93294895206198
"FARSB",-3.50566749538043,12.6999614191503,-4.2188316459847,0.000149375986542829,0.00441462509439825,0.926689848273829
"PROSC.1",-3.12523497691427,10.1254358188791,-4.21852541951011,0.000149513354900462,0.00441462509439825,0.925849771817583
"ATP6V1BA",-3.18751570141993,10.6493838310341,-4.21549167928258,0.000150880939463212,0.00442879934071427,0.917528294433674
"TWF1A",-3.2691330563272,10.5637948866977,-4.20897375038882,0.00015386070070936,0.00446514247586814,0.899656150335598
"DKC1.1",-2.80901358492283,10.7010638247365,-4.20886973049123,0.000153908718607078,0.00446514247586814,0.899370998836051
"ALDH18A1.1",-3.54762220624382,10.3978086570424,-4.19851313373242,0.000158763681621758,0.00457936862018828,0.870991474760567
"SLC25A6",-5.76030602817247,11.7343371539978,-4.19485139575621,0.000160515827609965,0.00460329873433176,0.86096277042304
"OPA1",-2.492400688311,10.090562681787,-4.19144045077318,0.000162164977242574,0.0046240184939454,0.851623448267369
"G4P62_009057",-3.79008442257453,11.0083609923079,-4.18010955144558,0.000167763169544942,0.00472630618056121,0.820616436748371
