"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SEPT9.1",-2.24797568501002,9.9856440572244,-4.179879119097,0.000167878956603413,0.00472630618056121,0.819986138916157
"ACP2",-3.29689538351567,10.4550576111072,-4.1784601368027,0.000168593687402785,0.00472630618056121,0.816105067132592
"DCTN2",-3.81401896160064,10.7557512649455,-4.17569186798033,0.000169996618778996,0.00473901188663235,0.808534775269194
"CCT7.1",-3.82855876899594,11.1522130501834,-4.1631253305929,0.000176510058323517,0.00489172729353326,0.774189970322299
"MESDC2",3.0751103071193,13.4724992336618,4.1577666635535,0.000179361167220629,0.00489172729353326,0.759554808624566
"RPL3",-4.37312143476577,11.3463570384543,-4.15736769670298,0.000179575231145496,0.00489172729353326,0.75846542926381
"RPL23A.2",-4.29900625339516,11.8264315653038,-4.15535164782657,0.000180660758213137,0.00489172729353326,0.752961130399144
"Nfu_g_1_021511.1",-3.44898725747426,10.6833668400543,-4.15510697990804,0.000180792933517384,0.00489172729353326,0.752293187699863
"DNAJB11.1",4.6608921436355,12.0863780258907,4.15406550059165,0.000181356623106945,0.00489172729353326,0.749450096765766
"AGXTA",-3.92934423318622,10.7310640405648,-4.1487236060281,0.000184274974921493,0.00494372110138843,0.734871168188725
"HNRNPA0",-3.67149566293138,11.4387212287064,-4.14554751001834,0.000186031823007229,0.00496416468880254,0.726206000862234
"EPRS.4",-3.43361537259153,10.8770898260887,-4.14211722519005,0.000187947659846868,0.00498861075870144,0.716849809204458
"AP2A1.1",-3.66445851522961,10.856599358002,-4.13545793532652,0.000191722113231839,0.00506186955040676,0.698693757632468
"CAT.2",5.37916639222468,12.5324158361508,4.13286122332045,0.00019321389929338,0.00507440714459984,0.691616651792769
"AKR7A3",-4.55843801398189,11.8744705763044,-4.11909985440482,0.000201310931166227,0.00524468208220459,0.654136100240581
"HSD17B10.2",-3.36954795093922,11.1838666042509,-4.11768725986615,0.00020216060394509,0.00524468208220459,0.65029112450821
"FABP3",-5.31786732572927,12.7629402996831,-4.11654467234214,0.00020285042923156,0.00524468208220459,0.647181412554493
"UGT1B4",3.12481731633781,10.8339190802798,4.11311544990613,0.000204934617587087,0.00527125640082249,0.63785005195299
"TMPOB",-3.50367324479434,10.5922578699276,-4.10515294564894,0.000209854983669081,0.00535601010143014,0.616193192994702
"Nfu_g_1_015341.1",-3.07429696539582,10.797234300051,-4.10431994012716,0.000210376348673408,0.00535601010143014,0.613928361322141
"ECI2.3",2.95750788749711,11.1960117467997,4.1025758650175,0.000211472036599889,0.00535657595245405,0.609186958328126
"BUB3.1",2.44608215674265,10.5328644182854,4.09941147277309,0.000213474257751149,0.00537998255645572,0.600586065526103
"LOC107390152",-3.1537287644136,11.3150254937383,-4.0964382018053,0.000215372406004261,0.00538587357003877,0.592506707904566
"ITSN1",-2.43481555418813,9.81338199387252,-4.09566817163184,0.000215866676153858,0.00538587357003877,0.590414608497566
"PBXIP1A",-2.61538759639229,10.147477819684,-4.09240943922534,0.000217970690625264,0.0054113121702491,0.581562429577894
"KRT5.7",-5.36811168329233,12.225248479739,-4.08886844554806,0.000220279640900454,0.0054415614262043,0.5719462405913
"RPL8.2",-4.69107892300114,11.7050428458821,-4.08071736743692,0.000225685744333478,0.00551491142259437,0.54982144185532
"ABAT.2",4.32685491152111,11.7764880902661,4.0800990376462,0.000226101086689425,0.00551491142259437,0.548143705737259
"MDH1.4",-4.34038864471884,11.8553407363266,-4.07938675993104,0.000226580459920286,0.00551491142259437,0.546211166260744
"CRELD2.3",-3.65865605286006,11.1700088276019,-4.077773776216,0.00022766968999087,0.00551491142259437,0.541835278160107
"UGGT1.4",-3.20530281832178,10.0123760330959,-4.07375739366502,0.000230404155970939,0.00555418714152166,0.530941776560771
"DBT",-2.74739032207739,10.2118785303411,-4.07088681078628,0.000232378137347306,0.00557484089116854,0.523158271564212
"PKP3",-2.87257427091233,10.4082516608925,-4.06903047336152,0.000233663438393157,0.0055788543424969,0.518125879978477
"ACOX1",-3.54082606969927,10.3441088209992,-4.06368684990123,0.000237402121896552,0.00564112661077997,0.503644181283411
"Nfu_g_1_019087",-3.83973187448271,10.3014581068056,-4.05732305250334,0.000241930738655228,0.00572148998051938,0.486406395809736
"OXCT1A",-3.86456492418919,10.9325795633216,-4.04797705285746,0.000248734634900215,0.00585465013279279,0.461107836118424
"RPS20.1",-4.55215023028708,12.3287677452462,-4.03312544916849,0.000259932150790415,0.00608949029316511,0.420948667879188
"AL928657.1",-3.0087058759209,10.6491926109978,-4.02449322338756,0.000266664728189263,0.00621802333488047,0.3976310275246
"ACAA1.2",-3.26651627169802,10.793179325567,-4.02080516119324,0.000269592719264696,0.00623688539014491,0.38767416989417
"AMT",-3.59413820858303,11.5528800150854,-4.02032853579671,0.000269973395645551,0.00623688539014491,0.386387637959949
"HNRNPH1L.1",3.10290072509163,10.8271895613488,4.01746166659581,0.00027227421282079,0.00626105217500341,0.378650392498123
"GSS.2",-2.914013981498,9.9868627385946,-4.0105654332537,0.000277887346350164,0.0063608158637033,0.360046647503067
"HTATSF1",-3.27221896402534,10.1418354432515,-4.00868422776582,0.000279438007888588,0.00636710346741578,0.35497378382354
"RBP4.1",-3.45653025427321,10.9953105759767,-4.00337182337081,0.000283862629393591,0.00642857451102182,0.340652993869541
"VPS35",-2.8848905029997,10.8965210494025,-4.00099633342395,0.000285863149962849,0.00642857451102182,0.334251551937585
"CKAP4.2",-2.77557617715823,10.1293566878272,-4.00081624473682,0.00028601537052527,0.00642857451102182,0.333766307397789
"dnm2a",2.78822252772095,10.6640667683016,3.99842232240348,0.000288046356700866,0.00642857451102182,0.327316697342243
"RPN2.2",-4.04357772600098,11.2794893174523,-3.99660185319698,0.00028960022484033,0.00642857451102182,0.322413002715018
"A1CF.2",-4.38460738097441,11.6941607005441,-3.99502375214357,0.00029095382199137,0.00642857451102182,0.318162820167013
"Nfu_g_1_022524",-4.15200849025677,11.206146207302,-3.99270992957964,0.000292949621333248,0.00642857451102182,0.311932281132417
